==12878== Memcheck, a memory error detector
==12878== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==12878== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==12878== Command: RunCollatz
85 1 116
92 23 116
35 91 116
96 64 116
86 28 116
44 68 113
87 12 116
59 54 113
80 81 23
19 19 21
25 1 24
57 51 113
99 42 119
31 99 119
21 73 116
17 82 116
44 69 113
68 36 113
61 2 113
97 78 119
31 29 107
1 16 20
33 1 112
30 85 116
6 61 113
80 11 116
71 45 113
1 66 113
19 55 113
88 76 111
93 54 116
23 34 112
27 21 112
64 26 113
29 32 107
71 13 113
63 43 113
45 63 113
12 13 10
49 56 113
75 16 116
23 51 112
72 88 116
77 78 36
40 78 116
62 14 113
25 9 24
85 54 116
10 96 116
22 58 113
94 56 116
50 87 116
52 61 113
92 56 116
96 89 106
67 81 116
38 93 116
75 85 111
43 93 116
8 91 116
24 98 119
82 59 116
82 88 111
52 28 110
87 54 116
84 58 116
4 60 113
57 77 116
60 50 113
62 99 119
62 13 113
71 59 108
91 92 93
21 28 112
87 71 116
91 16 116
69 47 113
3 10 20
9 4 20
16 97 119
22 50 112
22 64 113
28 64 113
40 76 116
5 78 116
91 29 116
66 43 113
65 61 108
71 32 113
99 40 119
83 75 111
24 77 116
88 39 116
79 21 116
37 53 110
9 97 119
86 74 111
66 69 28
39 57 113
31 45 110
44 15 112
38 82 116
71 24 113
92 39 116
63 91 116
6 79 116
37 96 116
24 56 113
80 97 119
80 1 116
86 14 116
2 24 21
55 44 113
52 46 105
41 75 116
93 29 116
41 100 119
58 8 113
36 58 113
29 70 113
64 27 113
26 37 112
61 17 113
37 27 112
25 59 113
32 82 116
44 72 113
55 34 113
19 45 112
17 54 113
9 70 113
71 64 103
60 85 116
17 30 112
20 44 112
33 6 112
7 39 112
19 53 112
30 2 112
25 75 116
9 85 116
80 34 116
84 39 116
42 80 116
76 34 116
75 61 116
67 63 108
32 98 119
48 70 113
1 11 20
75 23 116
57 50 113
62 67 108
13 19 21
55 83 116
21 33 112
12 50 112
14 65 113
70 47 113
99 20 119
15 91 116
57 21 113
27 53 112
88 12 116
79 48 116
82 68 116
48 60 113
79 70 116
73 88 116
88 84 31
63 5 113
47 35 110
45 13 112
58 89 116
36 84 116
78 49 116
78 47 116
23 95 116
44 48 105
70 58 108
57 50 113
76 86 111
40 94 116
6 24 21
43 72 113
86 98 119
14 62 113
44 11 112
30 92 116
52 89 116
34 42 110
13 69 113
36 77 116
68 31 113
38 33 27
16 56 113
52 10 112
38 64 113
88 82 111
76 36 116
56 37 113
65 37 113
48 20 112
63 100 119
4 59 113
45 16 112
82 66 116
89 43 116
21 87 116
87 23 116
91 19 116
26 33 112
5 34 112
2 71 113
8 64 113
10 47 112
6 78 116
70 63 108
16 96 116
40 60 113
27 96 116
16 65 113
47 23 112
3 62 113
73 72 116
39 74 116
75 47 116
4 28 112
50 34 110
55 60 113
25 11 24
71 38 113
8 46 112
92 48 116
84 57 116
84 10 116
52 77 116
67 18 113
50 76 116
56 32 113
19 74 116
2 60 113
20 88 116
21 55 113
58 78 116
22 56 113
46 42 30
2 89 116
49 12 112
65 84 116
82 76 111
60 90 116
100 51 119
100 56 119
82 88 111
6 31 112
42 64 113
30 40 107
47 32 110
46 62 113
50 26 112
47 54 113
79 29 116
89 47 116
23 64 113
57 6 113
17 66 113
80 67 116
2 74 116
49 26 112
2 46 112
61 87 116
54 18 113
10 51 112
57 34 113
63 88 116
54 7 113
91 82 111
87 53 116
29 100 119
100 81 119
38 87 116
40 97 119
36 56 113
92 47 116
51 53 25
78 32 116
79 40 116
96 43 116
53 15 112
31 6 112
47 52 105
76 77 23
56 32 113
90 54 116
9 69 113
30 92 116
1 65 113
87 59 116
58 76 116
2 36 112
36 24 112
99 35 119
22 69 113
9 68 113
10 20 21
22 53 112
31 4 112
38 51 110
29 79 116
38 68 113
63 84 116
49 12 112
39 80 116
29 91 116
18 66 113
21 30 112
57 65 108
74 42 116
85 67 116
85 53 116
25 34 112
64 23 113
86 13 116
62 17 113
65 21 113
5 86 116
95 97 119
16 7 20
99 12 119
30 29 19
31 59 113
91 44 116
50 31 110
83 91 111
29 63 113
48 52 25
66 90 116
87 65 116
81 73 116
31 73 116
53 37 110
55 47 113
95 75 111
64 17 113
27 1 112
46 37 110
20 60 113
94 82 111
9 46 112
28 14 112
66 19 113
91 63 116
40 31 107
17 14 18
99 52 119
17 100 119
7 80 116
24 76 116
8 82 116
==12878== 
==12878== HEAP SUMMARY:
==12878==     in use at exit: 0 bytes in 0 blocks
==12878==   total heap usage: 0 allocs, 0 frees, 0 bytes allocated
==12878== 
==12878== All heap blocks were freed -- no leaks are possible
==12878== 
==12878== For counts of detected and suppressed errors, rerun with: -v
==12878== ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 2 from 2)
